,Unnamed: 0,School Name,Applicants,Admitted,Enrolled,Acceptance Rate,Admission Yield,State
9,,"Middlebury College  Middlebury, VT",9227,1569,643,17.00%,40.98%,VT
10,,"Norwich University  Northfield, VT",4344,2867,717,66.00%,25.01%,VT
11,,"Saint Michael's College  Colchester, VT",4040,3353,436,83.00%,13.00%,VT
12,,"Southern Vermont College  Bennington, VT",403,367,81,91.07%,22.07%,VT
13,,"Sterling College  Craftsbury Common, VT",60,56,20,93.33%,35.71%,VT
14,,"University of Vermont  Burlington, VT",21263,14459,2603,68.00%,18.00%,VT
15,,"Vermont Technical College  Randolph, VT",931,633,228,67.99%,36.02%,VT
16,,Average,3319,2053,412,61.85%,20.05%,VT
0,,"Advanced Technology Institute  Virginia Beach, VA",448,349,227,77.90%,65.04%,VA
1,,"Averett University  Danville, VA",2833,1728,294,61.00%,17.01%,VA
2,,"Averett University-Non-Traditional Programs  Danville, VA",18,6,5,33.33%,83.33%,VA
3,,"Bluefield College  Bluefield, VA",1143,1086,217,95.01%,19.98%,VA
4,,"Bridgewater College  Bridgewater, VA",6360,4198,588,66.01%,14.01%,VA
5,,"Chamberlain University-Virginia  Arlington, VA",6,1,1,16.67%,100.00%,VA
6,,"Christopher Newport University  Newport News, VA",7430,5052,1212,67.99%,23.99%,VA
7,,"College of William and Mary  Williamsburg, VA",14644,5418,1571,37.00%,29.00%,VA
8,,"DeVry University-Virginia  Arlington, VA",7,6,5,85.71%,83.33%,VA
9,,"Eastern Mennonite University  Harrisonburg, VA",1245,735,198,59.04%,26.94%,VA
10,,"Eastern Virginia Career College  Fredericksburg, VA",270,108,31,40.00%,28.70%,VA
11,,"ECPI University  Virginia Beach, VA",5548,3995,1518,72.01%,38.00%,VA
12,,"Emory & Henry College  Emory, VA",1660,1162,267,70.00%,22.98%,VA
13,,"Ferrum College  Ferrum, VA",3927,2945,412,74.99%,13.99%,VA
14,,"George Mason University  Fairfax, VA",19557,15841,3643,81.00%,23.00%,VA
15,,"Hampden-Sydney College  Hampden-Sydney, VA",3239,1911,344,59.00%,18.00%,VA
16,,"Hampton University  Hampton, VA",19733,8683,955,44.00%,11.00%,VA
17,,"Henrico County-Saint Marys Hospital School of Practical Nursing  Henrico, VA",82,70,48,85.37%,68.57%,VA
18,,"Hollins University  Roanoke, VA",3667,2347,188,64.00%,8.01%,VA
19,,"James Madison University  Harrisonburg, VA",23149,16436,4602,71.00%,28.00%,VA
20,,"Jefferson College of Health Sciences  Roanoke, VA",838,251,65,29.95%,25.90%,VA
21,,"Liberty University  Lynchburg, VA",29010,16246,4711,56.00%,29.00%,VA
22,,"Longwood University  Farmville, VA",5162,4594,1011,89.00%,22.01%,VA
23,,"Mary Baldwin University  Staunton, VA",6371,6371,382,100.00%,6.00%,VA
24,,"Marymount University  Arlington, VA",2872,2614,418,91.02%,15.99%,VA
25,,"Norfolk State University  Norfolk, VA",7442,6698,1072,90.00%,16.00%,VA
26,,"Old Dominion University  Norfolk, VA",13335,11601,3132,87.00%,27.00%,VA
27,,"Radford University  Radford, VA",14161,10621,1806,75.00%,17.00%,VA
28,,"Randolph College  Lynchburg, VA",1576,1371,165,86.99%,12.04%,VA
29,,"Randolph-Macon College  Ashland, VA",2907,1948,429,67.01%,22.02%,VA
30,,"Regent University  Virginia Beach, VA",2913,2389,478,82.01%,20.01%,VA
31,,"Richard Bland College of William and Mary  South Prince George, VA",2366,1372,439,57.99%,32.00%,VA
32,,"Riverside College of Health Careers  Newport News, VA",22,6,6,27.27%,100.00%,VA
33,,"Roanoke College  Salem, VA",5122,3688,590,72.00%,16.00%,VA
34,,"Shenandoah University  Winchester, VA",2225,1558,436,70.02%,27.98%,VA
35,,"Southern Virginia University  Buena Vista, VA",956,660,310,69.04%,46.97%,VA
36,,"Standard Healthcare Services-College of Nursing  Falls Church, VA",47,20,15,42.55%,75.00%,VA
37,,"Sweet Briar College  Sweet Briar, VA",654,497,109,75.99%,21.93%,VA
38,,"The University of Virginia's College at Wise  Wise, VA",828,638,306,77.05%,47.96%,VA
39,,"University of Mary Washington  Fredericksburg, VA",5909,4254,936,71.99%,22.00%,VA
40,,"University of Richmond  University of Richmond, VA",11882,3565,820,30.00%,23.00%,VA
41,,"University of Virginia-Main Campus  Charlottesville, VA",37182,9667,3770,26.00%,39.00%,VA
42,,"Virginia Baptist College  Fredericksburg, VA",82,75,33,91.46%,44.00%,VA
43,,"Virginia Commonwealth University  Richmond, VA",16549,14232,4554,86.00%,32.00%,VA
44,,"Virginia International University  Fairfax, VA",81,45,4,55.56%,8.89%,VA
45,,"Virginia Military Institute  Lexington, VA",1768,902,469,51.02%,52.00%,VA
46,,"Virginia Polytechnic Institute and State University  Blacksburg, VA",31936,20758,6227,65.00%,30.00%,VA
47,,"Virginia State University  Petersburg, VA",7007,6376,956,90.99%,14.99%,VA
