,Unnamed: 0,School Name,Applicants,Admitted,Enrolled,Acceptance Rate,Admission Yield,State
46,,"St Thomas University  Miami Gardens, FL",2295,1193,203,51.98%,17.02%,FL
47,,"Stetson University  DeLand, FL",13330,9064,906,68.00%,10.00%,FL
48,,"The Baptist College of Florida  Graceville, FL",99,84,47,84.85%,55.95%,FL
49,,"The University of Tampa  Tampa, FL",22310,10932,2186,49.00%,20.00%,FL
50,,"The University of West Florida  Pensacola, FL",5707,2397,1079,42.00%,45.01%,FL
51,,"Trinity Baptist College  Jacksonville, FL",237,166,83,70.04%,50.00%,FL
52,,"Trinity College of Florida  Trinity, FL",77,64,32,83.12%,50.00%,FL
53,,"University of Central Florida  Orlando, FL",41816,17981,7372,43.00%,41.00%,FL
54,,"University of Florida  Gainesville, FL",38905,15173,6828,39.00%,45.00%,FL
55,,"University of Florida-Online  Gainesville, FL",974,594,541,60.99%,91.08%,FL
56,,"University of Miami  Coral Gables, FL",34281,10970,2304,32.00%,21.00%,FL
57,,"University of North Florida  Jacksonville, FL",14330,8741,2447,61.00%,27.99%,FL
58,,"University of South Florida-Main Campus  Tampa, FL",35043,15068,4520,43.00%,30.00%,FL
59,,"University of South Florida-Sarasota-Manatee  Sarasota, FL",771,247,111,32.04%,44.94%,FL
60,,"University of South Florida-St Petersburg  St. Petersburg, FL",4254,1659,547,39.00%,32.97%,FL
61,,"Warner University  Lake Wales, FL",1359,476,200,35.03%,42.02%,FL
62,,"Webber International University  Babson Park, FL",1022,409,188,40.02%,45.97%,FL
63,,"West Coast University-Miami  Doral, FL",36,36,14,100.00%,38.89%,FL
64,,Average,6703,3377,984,50.37%,29.15%,FL
0,,"Abraham Baldwin Agricultural College  Tifton, GA",2389,1648,1022,68.98%,62.01%,GA
1,,"Agnes Scott College  Decatur, GA",1625,1138,319,70.03%,28.03%,GA
2,,"Albany State University  Albany, GA",4093,3684,1584,90.01%,43.00%,GA
3,,"Andrew College  Cuthbert, GA",738,317,136,42.95%,42.90%,GA
4,,"Augusta University  Augusta, GA",3054,2443,1075,79.99%,44.00%,GA
5,,"Berry College  Mount Berry, GA",3970,2620,498,65.99%,19.01%,GA
6,,"Brenau University  Gainesville, GA",2674,1524,274,56.99%,17.98%,GA
7,,"Brewton-Parker College  Mount Vernon, GA",342,332,196,97.08%,59.04%,GA
8,,"Brown College of Court Reporting  Atlanta, GA",4,4,3,100.00%,75.00%,GA
9,,"Chamberlain University-Georgia  Atlanta, GA",16,3,3,18.75%,100.00%,GA
10,,"Clark Atlanta University  Atlanta, GA",14942,7770,932,52.00%,11.99%,GA
11,,"Clayton State University  Morrow, GA",1974,1066,640,54.00%,60.04%,GA
12,,"College of Coastal Georgia  Brunswick, GA",1611,1498,794,92.99%,53.00%,GA
13,,"Columbus State University  Columbus, GA",3841,2151,1140,56.00%,53.00%,GA
14,,"Covenant College  Lookout Mountain, GA",672,652,248,97.02%,38.04%,GA
15,,"DeVry University-Georgia  Decatur, GA",37,35,25,94.59%,71.43%,GA
16,,"Elaine Sterling Institute  Sandy Springs, GA",211,188,122,89.10%,64.89%,GA
17,,"Emmanuel College  Franklin Springs, GA",1089,457,247,41.97%,54.05%,GA
18,,"Emory University  Atlanta, GA",27559,5236,1466,19.00%,28.00%,GA
19,,"Emory University-Oxford College  Oxford, GA",16620,4155,540,25.00%,13.00%,GA
20,,"Fort Valley State University  Fort Valley, GA",3217,1962,471,60.99%,24.01%,GA
21,,"Georgia College & State University  Milledgeville, GA",4329,3377,1486,78.01%,44.00%,GA
22,,"Georgia Institute of Technology-Main Campus  Atlanta, GA",35644,7842,3215,22.00%,41.00%,GA
23,,"Georgia Southern University  Statesboro, GA",11522,7835,4388,68.00%,56.01%,GA
24,,"Georgia Southwestern State University  Americus, GA",1283,885,416,68.98%,47.01%,GA
25,,"Georgia State University  Atlanta, GA",16348,11607,4991,71.00%,43.00%,GA
26,,"Georgia State University-Perimeter College  Atlanta, GA",13815,9118,3556,66.00%,39.00%,GA
27,,"Gordon State College  Barnesville, GA",2120,1505,888,70.99%,59.00%,GA
28,,"Herzing University-Atlanta  Atlanta, GA",135,130,59,96.30%,45.38%,GA
29,,"Kennesaw State University  Kennesaw, GA",13427,7788,4751,58.00%,61.00%,GA
30,,"LaGrange College  Lagrange, GA",1511,725,210,47.98%,28.97%,GA
31,,"Life University  Marietta, GA",314,295,180,93.95%,61.02%,GA
32,,"Luther Rice College & Seminary  Lithonia, GA",22,13,9,59.09%,69.23%,GA
33,,"Mercer University  Macon, GA",5454,3927,982,72.00%,25.01%,GA
34,,"Middle Georgia State University  Macon, GA",2314,2129,1426,92.01%,66.98%,GA
35,,"Morehouse College  Atlanta, GA",3554,2061,598,57.99%,29.02%,GA
36,,"Oglethorpe University  Atlanta, GA",2203,1366,328,62.01%,24.01%,GA
37,,"Paine College  Augusta, GA",3686,1474,206,39.99%,13.98%,GA
38,,"Piedmont College  Demorest, GA",1379,827,256,59.97%,30.96%,GA
39,,"Point University  West Point, GA",1228,651,247,53.01%,37.94%,GA
40,,"Reinhardt University  Waleska, GA",1216,1094,350,89.97%,31.99%,GA
41,,"Savannah College of Art and Design  Savannah, GA",14812,10368,2799,70.00%,27.00%,GA
42,,"Savannah State University  Savannah, GA",7930,2300,759,29.00%,33.00%,GA
43,,"Shorter University  Rome, GA",1780,1015,325,57.02%,32.02%,GA
44,,"Spelman College  Atlanta, GA",9451,3686,553,39.00%,15.00%,GA
45,,"Thomas University  Thomasville, GA",391,188,94,48.08%,50.00%,GA
46,,"Toccoa Falls College  Toccoa Falls, GA",939,563,220,59.96%,39.08%,GA
47,,"Truett McConnell University  Cleveland, GA",677,630,284,93.06%,45.08%,GA
48,,"University of Georgia  Athens, GA",26164,12820,5769,49.00%,45.00%,GA
49,,"University of North Georgia  Dahlonega, GA",11145,9027,4423,81.00%,49.00%,GA
50,,"University of West Georgia  Carrollton, GA",8154,4729,2270,58.00%,48.00%,GA
51,,"Valdosta State University  Valdosta, GA",6557,4131,1652,63.00%,39.99%,GA
52,,"Wesleyan College  Macon, GA",890,427,158,47.98%,37.00%,GA
53,,"Young Harris College  Young Harris, GA",1494,941,311,62.99%,33.05%,GA
54,,Average,5603,2858,1109,51.02%,38.80%,GA
0,,"Brigham Young University-Hawaii  Laie, HI",2970,1337,562,45.02%,42.03%,HI
1,,"Chaminade University of Honolulu  Honolulu, HI",908,890,294,98.02%,33.03%,HI
2,,"Hawaii Pacific University  Honolulu, HI",6168,4626,555,75.00%,12.00%,HI
3,,"Mauna Loa Helicopters  Kailua Kona, HI",31,31,31,100.00%,100.00%,HI
4,,"Pacific Rim Christian University  Honolulu, HI",40,28,22,70.00%,78.57%,HI
5,,"University of Hawaii at Hilo  Hilo, HI",1816,1435,416,79.02%,28.99%,HI
6,,"University of Hawaii at Manoa  Honolulu, HI",9345,7850,2198,84.00%,28.00%,HI
7,,"University of Hawaii-West Oahu  Kapolei, HI",899,674,243,74.97%,36.05%,HI
8,,Average,2772,2109,540,76.07%,25.61%,HI
0,,"Boise Bible College  Boise, ID",26,24,20,92.31%,83.33%,ID
1,,"Boise State University  Boise, ID",10789,8739,2796,81.00%,31.99%,ID
2,,"Brigham Young University-Idaho  Rexburg, ID",9998,9698,4461,97.00%,46.00%,ID
3,,"Carrington College-Boise  Boise, ID",46,44,31,95.65%,70.45%,ID
4,,"Lewis-Clark State College  Lewiston, ID",1867,1867,504,100.00%,27.00%,ID
5,,"New Saint Andrews College  Moscow, ID",62,61,49,98.39%,80.33%,ID
6,,"Northwest Nazarene University  Nampa, ID",1046,743,275,71.03%,37.01%,ID
7,,"The College of Idaho  Caldwell, ID",2754,1349,283,48.98%,20.98%,ID
8,,"University of Idaho  Moscow, ID",7938,6112,1406,77.00%,23.00%,ID
9,,Average,3836,3182,1092,82.94%,34.31%,ID
0,,"Augustana College  Rock Island, IL",6211,3975,636,64.00%,16.00%,IL
1,,"Aurora University  Aurora, IL",3296,2670,748,81.01%,28.01%,IL
2,,"Benedictine University  Lisle, IL",5502,3466,451,63.00%,13.01%,IL
3,,"Blackburn College  Carlinville, IL",869,452,172,52.01%,38.05%,IL
4,,"Bradley University  Peoria, IL",11209,7510,1127,67.00%,15.01%,IL
5,,"Chamberlain University-Illinois  Addison, IL",40,31,29,77.50%,93.55%,IL
6,,"Chicago State University  Chicago, IL",3236,1068,160,33.00%,14.98%,IL
7,,"Columbia College Chicago  Chicago, IL",8121,7065,1342,87.00%,19.00%,IL
8,,"Concordia University-Chicago  River Forest, IL",5024,3818,382,76.00%,10.01%,IL
9,,"DePaul University  Chicago, IL",26169,17795,2669,68.00%,15.00%,IL
10,,"DeVry University-Illinois  Chicago, IL",1454,1367,1080,94.02%,79.01%,IL
11,,"Dominican University  River Forest, IL",4813,3080,462,63.99%,15.00%,IL
12,,"Eastern Illinois University  Charleston, IL",8580,4719,802,55.00%,17.00%,IL
13,,"Elmhurst College  Elmhurst, IL",4219,2827,537,67.01%,19.00%,IL
14,,"Eureka College  Eureka, IL",817,466,140,57.04%,30.04%,IL
15,,"Fox College  Bedford Park, IL",107,74,29,69.16%,39.19%,IL
16,,"Governors State University  University Park, IL",1507,573,201,38.02%,35.08%,IL
17,,"Graham Hospital School of Nursing  Canton, IL",2,2,0,100.00%,0.00%,IL
18,,"Greenville University  Greenville, IL",2147,1031,217,48.02%,21.05%,IL
19,,"Hebrew Theological College  Skokie, IL",14,13,11,92.86%,84.62%,IL
20,,"Illinois College  Jacksonville, IL",3378,2567,282,75.99%,10.99%,IL
21,,"Illinois Institute of Technology  Chicago, IL",4957,2875,604,58.00%,21.01%,IL
22,,"Illinois State University  Normal, IL",12886,11469,3670,89.00%,32.00%,IL
23,,"Illinois Wesleyan University  Bloomington, IL",3785,2233,491,59.00%,21.99%,IL
24,,"Judson University  Elgin, IL",552,392,157,71.01%,40.05%,IL
25,,"Knox College  Galesburg, IL",2738,2026,344,74.00%,16.98%,IL
26,,"Lake Forest College  Lake Forest, IL",4147,2405,385,57.99%,16.01%,IL
27,,"Lewis University  Romeoville, IL",5876,3408,648,58.00%,19.01%,IL
28,,"Lincoln Christian University  Lincoln, IL",222,142,64,63.96%,45.07%,IL
29,,"Lincoln College  Lincoln, IL",1705,1364,273,80.00%,20.01%,IL
30,,"Loyola University Chicago  Chicago, IL",25122,17083,2733,68.00%,16.00%,IL
31,,"MacMurray College  Jacksonville, IL",1299,714,171,54.97%,23.95%,IL
32,,"McKendree University  Lebanon, IL",1750,1173,364,67.03%,31.03%,IL
33,,"Methodist College  Peoria, IL",74,29,17,39.19%,58.62%,IL
34,,"Midstate College  Peoria, IL",18,9,9,50.00%,100.00%,IL
35,,"Millikin University  Decatur, IL",4512,2752,468,60.99%,17.01%,IL
36,,"Monmouth College  Monmouth, IL",1949,1345,242,69.01%,17.99%,IL
37,,"Moody Bible Institute  Chicago, IL",426,405,259,95.07%,63.95%,IL
38,,"National Latino Education Institute  Chicago, IL",11,7,7,63.64%,100.00%,IL
39,,"National Louis University  Chicago, IL",3423,2944,559,86.01%,18.99%,IL
40,,"North Central College  Naperville, IL",6625,3710,557,56.00%,15.01%,IL
41,,"North Park University  Chicago, IL",4528,2128,426,47.00%,20.02%,IL
42,,"Northeastern Illinois University  Chicago, IL",5968,3342,468,56.00%,14.00%,IL
43,,"Northern Illinois University  Dekalb, IL",14157,7645,1835,54.00%,24.00%,IL
44,,"Northwestern University  Evanston, IL",40425,3234,1811,8.00%,56.00%,IL
45,,"Olivet Nazarene University  Bourbonnais, IL",4053,2634,685,64.99%,26.01%,IL
46,,"Principia College  Elsah, IL",149,137,100,91.95%,72.99%,IL
47,,"Quincy University  Quincy, IL",1212,824,264,67.99%,32.04%,IL
48,,"Robert Morris University Illinois  Chicago, IL",2749,1732,398,63.00%,22.98%,IL
49,,"Rockford University  Rockford, IL",2682,1314,158,48.99%,12.02%,IL
50,,"Roosevelt University  Chicago, IL",3943,2563,333,65.00%,12.99%,IL
51,,"Saint Xavier University  Chicago, IL",7917,5859,703,74.01%,12.00%,IL
52,,"School of the Art Institute of Chicago  Chicago, IL",5993,3536,636,59.00%,17.99%,IL
53,,"Southern Illinois University-Carbondale  Carbondale, IL",6232,4487,1122,72.00%,25.01%,IL
54,,"Southern Illinois University-Edwardsville  Edwardsville, IL",6410,5577,1673,87.00%,30.00%,IL
55,,"Taylor Business Institute  Chicago, IL",73,64,48,87.67%,75.00%,IL
56,,"Telshe Yeshiva-Chicago  Chicago, IL",26,26,26,100.00%,100.00%,IL
57,,"Tribeca Flashpoint College  Chicago, IL",176,174,97,98.86%,55.75%,IL
58,,"Trinity Christian College  Palos Heights, IL",959,614,154,64.03%,25.08%,IL
59,,"Trinity International University-Illinois  Deerfield, IL",508,371,156,73.03%,42.05%,IL
60,,"University of Chicago  Chicago, IL",32283,2260,1740,7.00%,76.99%,IL
61,,"University of Illinois at Chicago  Chicago, IL",21106,16041,4171,76.00%,26.00%,IL
62,,"University of Illinois at Springfield  Springfield, IL",2374,1258,315,52.99%,25.04%,IL
63,,"University of Illinois at Urbana-Champaign  Champaign, IL",39406,24432,7574,62.00%,31.00%,IL
64,,"University of St Francis  Joliet, IL",1847,868,217,47.00%,25.00%,IL
65,,"VanderCook College of Music  Chicago, IL",29,27,13,93.10%,48.15%,IL
66,,"Western Illinois University  Macomb, IL",9151,5399,918,59.00%,17.00%,IL
67,,"Wheaton College  Wheaton, IL",1850,1536,614,83.03%,39.97%,IL
68,,Average,5809,3223,749,55.48%,23.23%,IL
0,,"Ancilla College  Donaldson, IN",1296,894,134,68.98%,14.99%,IN
1,,"Anderson University  Anderson, IN",3834,2492,399,65.00%,16.01%,IN
2,,"Ball State University  Muncie, IN",23988,15592,3742,65.00%,24.00%,IN
3,,"Bethel College-Indiana  Mishawaka, IN",1187,1092,295,92.00%,27.01%,IN
4,,"Butler University  Indianapolis, IN",16418,11164,1340,68.00%,12.00%,IN
5,,"Chamberlain University-Indiana  Indianapolis, IN",7,3,3,42.86%,100.00%,IN
6,,"DePauw University  Greencastle, IN",5476,3450,552,63.00%,16.00%,IN
7,,"DeVry University-Indiana  Merrillville, IN",1,1,0,100.00%,0.00%,IN
8,,"Earlham College  Richmond, IN",2119,1377,275,64.98%,19.97%,IN
9,,"Franklin College  Franklin, IN",1869,1402,266,75.01%,18.97%,IN
10,,"Goshen College  Goshen, IN",1248,824,198,66.03%,24.03%,IN
11,,"Grace College and Theological Seminary  Winona Lake, IN",3739,3066,307,82.00%,10.01%,IN
12,,"Hanover College  Hanover, IN",3229,2551,357,79.00%,13.99%,IN
13,,"Holy Cross College  Notre Dame, IN",597,525,179,87.94%,34.10%,IN
14,,"Huntington University  Huntington, IN",1041,864,251,83.00%,29.05%,IN
15,,"Indiana Institute of Technology  Fort Wayne, IN",3778,2380,428,63.00%,17.98%,IN
16,,"Indiana State University  Terre Haute, IN",12861,11575,2431,90.00%,21.00%,IN
17,,"Indiana University-Bloomington  Bloomington, IN",44169,34010,8162,77.00%,24.00%,IN
18,,"Indiana University-East  Richmond, IN",1979,1286,450,64.98%,34.99%,IN
19,,"Indiana University-Kokomo  Kokomo, IN",2499,1999,640,79.99%,32.02%,IN
20,,"Indiana University-Northwest  Gary, IN",2182,1746,681,80.02%,39.00%,IN
21,,"Indiana University-Purdue University-Fort Wayne  Fort Wayne, IN",4777,4634,1576,97.01%,34.01%,IN
22,,"Indiana University-Purdue University-Indianapolis  Indianapolis, IN",13339,10805,4106,81.00%,38.00%,IN
23,,"Indiana University-South Bend  South Bend, IN",3011,2469,938,82.00%,37.99%,IN
24,,"Indiana University-Southeast  New Albany, IN",2794,2375,1021,85.00%,42.99%,IN
25,,"Indiana Wesleyan University-Marion  Marion, IN",4733,3218,708,67.99%,22.00%,IN
26,,"International Business College-Fort Wayne  Fort Wayne, IN",415,274,63,66.02%,22.99%,IN
27,,"International Business College-Indianapolis  Indianapolis, IN",535,412,111,77.01%,26.94%,IN
28,,"Manchester University  North Manchester, IN",4253,2509,401,58.99%,15.98%,IN
29,,"Marian University  Indianapolis, IN",2325,1418,425,60.99%,29.97%,IN
30,,"Oakland City University  Oakland City, IN",1010,505,141,50.00%,27.92%,IN
31,,"Purdue University Northwest  Hammond, IN",4849,1503,1172,31.00%,77.98%,IN
32,,"Purdue University-Main Campus  West Lafayette, IN",53722,31159,8413,58.00%,27.00%,IN
33,,"Rose-Hulman Institute of Technology  Terre Haute, IN",4471,3040,486,67.99%,15.99%,IN
34,,"Saint Elizabeth School of Nursing  Lafayette, IN",23,23,14,100.00%,60.87%,IN
35,,"Saint Mary's College  Notre Dame, IN",1862,1527,397,82.01%,26.00%,IN
36,,"Saint Mary-of-the-Woods College  Saint Mary of the Woods, IN",638,459,170,71.94%,37.04%,IN
37,,"Taylor University  Upland, IN",2165,1689,540,78.01%,31.97%,IN
38,,"Trine University  Angola, IN",3993,2915,641,73.00%,21.99%,IN
39,,"Trine University-Regional/Non-Traditional Campuses  Fort Wayne, IN",6,4,3,66.67%,75.00%,IN
40,,"University of Evansville  Evansville, IN",4580,3160,506,69.00%,16.01%,IN
41,,"University of Indianapolis  Indianapolis, IN",10206,7042,1197,69.00%,17.00%,IN
42,,"University of Notre Dame  Notre Dame, IN",20371,3667,2090,18.00%,56.99%,IN
43,,"University of Saint Francis-Fort Wayne  Fort Wayne, IN",1490,1386,347,93.02%,25.04%,IN
44,,"University of Southern Indiana  Evansville, IN",4449,4227,1649,95.01%,39.01%,IN
45,,"Valparaiso University  Valparaiso, IN",7062,6285,754,89.00%,12.00%,IN
46,,"Wabash College  Crawfordsville, IN",1336,868,278,64.97%,32.03%,IN
47,,Average,6211,4167,1070,67.09%,25.68%,IN
0,,"Buena Vista University  Storm Lake, IA",2055,1171,199,56.98%,16.99%,IA
1,,"Central College  Pella, IA",2772,1940,272,69.99%,14.02%,IA
2,,"Clarke University  Dubuque, IA",1301,1067,192,82.01%,17.99%,IA
3,,"Coe College  Cedar Rapids, IA",7795,5223,418,67.00%,8.00%,IA
4,,"Cornell College  Mount Vernon, IA",2532,1545,294,61.02%,19.03%,IA
5,,"Divine Word College  Epworth, IA",7,7,1,100.00%,14.29%,IA
6,,"Dordt College  Sioux Center, IA",1386,1012,324,73.02%,32.02%,IA
7,,"Drake University  Des Moines, IA",6886,4682,749,67.99%,16.00%,IA
8,,"Emmaus Bible College  Dubuque, IA",118,112,47,94.92%,41.96%,IA
9,,"Faith Baptist Bible College and Theological Seminary  Ankeny, IA",175,109,80,62.29%,73.39%,IA
10,,"Graceland University-Lamoni  Lamoni, IA",3004,1742,261,57.99%,14.98%,IA
11,,"Grand View University  Des Moines, IA",1597,1469,323,91.98%,21.99%,IA
12,,"Grinnell College  Grinnell, IA",7349,1764,459,24.00%,26.02%,IA
13,,"Iowa State University  Ames, IA",18855,17158,6005,91.00%,35.00%,IA
14,,"Iowa Wesleyan University  Mount Pleasant, IA",3740,2169,174,57.99%,8.02%,IA
15,,"Loras College  Dubuque, IA",1312,1220,366,92.99%,30.00%,IA
16,,"Luther College  Decorah, IA",4422,2786,557,63.00%,19.99%,IA
17,,"Maharishi University of Management  Fairfield, IA",34,34,18,100.00%,52.94%,IA
18,,"Mercy College of Health Sciences  Des Moines, IA",101,96,41,95.05%,42.71%,IA
19,,"Morningside College  Sioux City, IA",4385,2543,356,57.99%,14.00%,IA
20,,"Mount Mercy University  Cedar Rapids, IA",1409,888,240,63.02%,27.03%,IA
21,,"Northwestern College  Orange City, IA",1316,934,271,70.97%,29.01%,IA
22,,"Saint Ambrose University  Davenport, IA",5234,3297,495,62.99%,15.01%,IA
23,,"Shiloh University  Kalona, IA",3,1,1,33.33%,100.00%,IA
24,,"Simpson College  Indianola, IA",1401,1177,365,84.01%,31.01%,IA
25,,"St Luke's College  Sioux City, IA",15,15,10,100.00%,66.67%,IA
26,,"University of Dubuque  Dubuque, IA",2666,1946,525,72.99%,26.98%,IA
27,,"University of Iowa  Iowa City, IA",26706,22166,4877,83.00%,22.00%,IA
28,,"University of Northern Iowa  Cedar Falls, IA",5217,4226,1648,81.00%,39.00%,IA
29,,"Upper Iowa University  Fayette, IA",1791,896,170,50.03%,18.97%,IA
30,,"Waldorf University  Forest City, IA",1071,803,249,74.98%,31.01%,IA
31,,"Wartburg College  Waverly, IA",4298,3266,457,75.99%,13.99%,IA
32,,"William Penn University  Oskaloosa, IA",1508,829,282,54.97%,34.02%,IA
33,,Average,3711,2676,628,72.10%,23.47%,IA
0,,"Baker University  Baldwin City, KS",810,713,250,88.02%,35.06%,KS
1,,"Barclay College  Haviland, KS",166,76,44,45.78%,57.89%,KS
2,,"Benedictine College  Atchison, KS",2444,2273,568,93.00%,24.99%,KS
3,,"Bethany College  Lindsborg, KS",1343,913,292,67.98%,31.98%,KS
4,,"Bethel College-North Newton  North Newton, KS",1093,481,106,44.01%,22.04%,KS
5,,"Cleveland University-Kansas City  Overland Park, KS",10,3,2,30.00%,66.67%,KS
6,,"Emporia State University  Emporia, KS",1648,1401,658,85.01%,46.97%,KS
7,,"Fort Hays State University  Hays, KS",2191,2016,988,92.01%,49.01%,KS
8,,"Friends University  Wichita, KS",792,372,171,46.97%,45.97%,KS
9,,"Haskell Indian Nations University  Lawrence, KS",287,195,166,67.94%,85.13%,KS
10,,"Kansas State University  Manhattan, KS",8685,8077,3473,93.00%,43.00%,KS
11,,"Kansas Wesleyan University  Salina, KS",861,405,146,47.04%,36.05%,KS
12,,"Manhattan Christian College  Manhattan, KS",191,111,71,58.12%,63.96%,KS
13,,"McPherson College  McPherson, KS",1222,941,179,77.00%,19.02%,KS
14,,"MidAmerica Nazarene University  Olathe, KS",926,546,169,58.96%,30.95%,KS
15,,"Newman University  Wichita, KS",1129,700,182,62.00%,26.00%,KS
16,,"Ottawa University-Online  Ottawa, KS",30,29,17,96.67%,58.62%,KS
17,,"Ottawa University-Ottawa  Ottawa, KS",357,278,242,77.87%,87.05%,KS
18,,"Pittsburg State University  Pittsburg, KS",2418,2176,957,89.99%,43.98%,KS
19,,"Southwestern College  Winfield, KS",850,476,190,56.00%,39.92%,KS
20,,"Sterling College  Sterling, KS",1587,651,156,41.02%,23.96%,KS
21,,"Tabor College  Hillsboro, KS",762,434,161,56.96%,37.10%,KS
22,,"University of Kansas  Lawrence, KS",14752,13572,4207,92.00%,31.00%,KS
23,,"University of Saint Mary  Leavenworth, KS",996,608,134,61.04%,22.04%,KS
24,,"Washburn Institute of Technology  Topeka, KS",799,479,268,59.95%,55.95%,KS
25,,"Wichita State University  Wichita, KS",5799,5567,1726,96.00%,31.00%,KS
26,,Average,2006,1673,597,83.40%,35.69%,KS
0,,"Alice Lloyd College  Pippa Passes, KY",4720,1322,251,28.01%,18.99%,KY
1,,"Asbury University  Wilmore, KY",1366,915,275,66.98%,30.05%,KY
2,,"Bellarmine University  Louisville, KY",5535,4760,666,86.00%,13.99%,KY
3,,"Berea College  Berea, KY",1576,599,437,38.01%,72.95%,KY
4,,"Brescia University  Owensboro, KY",3865,1507,226,38.99%,15.00%,KY
5,,"Campbellsville University  Campbellsville, KY",3542,2940,647,83.00%,22.01%,KY
6,,"Centre College  Danville, KY",2457,1794,359,73.02%,20.01%,KY
7,,"Eastern Kentucky University  Richmond, KY",9117,7932,2380,87.00%,30.01%,KY
8,,"Georgetown College  Georgetown, KY",3629,1742,261,48.00%,14.98%,KY
9,,"Kentucky Christian University  Grayson, KY",804,297,151,36.94%,50.84%,KY
10,,"Kentucky Mountain Bible College  Jackson, KY",53,26,16,49.06%,61.54%,KY
11,,"Kentucky State University  Frankfort, KY",1660,1195,275,71.99%,23.01%,KY
12,,"Kentucky Wesleyan College  Owensboro, KY",1607,1028,247,63.97%,24.03%,KY
13,,"Midway University  Midway, KY",1256,766,237,60.99%,30.94%,KY
14,,"Morehead State University  Morehead, KY",6739,5324,1491,79.00%,28.01%,KY
15,,"Murray State University  Murray, KY",8256,6687,1337,81.00%,19.99%,KY
16,,"Northern Kentucky University  Highland Heights, KY",5995,5336,1974,89.01%,36.99%,KY
17,,"Spalding University  Louisville, KY",839,805,193,95.95%,23.98%,KY
18,,"The Southern Baptist Theological Seminary  Louisville, KY",315,211,200,66.98%,94.79%,KY
19,,"Thomas More College  Crestview Hills, KY",2698,2428,486,89.99%,20.02%,KY
20,,"Transylvania University  Lexington, KY",1662,1479,296,88.99%,20.01%,KY
21,,"Union College  Barbourville, KY",1539,862,224,56.01%,25.99%,KY
22,,"University of Kentucky  Lexington, KY",19324,18165,5086,94.00%,28.00%,KY
23,,"University of Louisville  Louisville, KY",13851,9973,2892,72.00%,29.00%,KY
24,,"University of the Cumberlands  Williamsburg, KY",2348,1714,463,73.00%,27.01%,KY
25,,"Western Kentucky University  Bowling Green, KY",9250,8973,2961,97.01%,33.00%,KY
26,,Average,4385,3415,924,77.88%,27.07%,KY
0,,"Academy of Interactive Entertainment  Lafayette, LA",126,63,36,50.00%,57.14%,LA
1,,"Centenary College of Louisiana  Shreveport, LA",893,536,172,60.02%,32.09%,LA
2,,"Digital Media Institute at InterTech  Shreveport, LA",11,9,8,81.82%,88.89%,LA
3,,"Dillard University  New Orleans, LA",6015,3669,367,61.00%,10.00%,LA
4,,"Franciscan Missionaries of Our Lady University  Baton Rouge, LA",250,148,83,59.20%,56.08%,LA
5,,"Grambling State University  Grambling, LA",3275,3111,933,94.99%,29.99%,LA
6,,"Herzing University-Kenner  Kenner, LA",40,40,15,100.00%,37.50%,LA
7,,"Louisiana College  Pineville, LA",808,630,258,77.97%,40.95%,LA
8,,"Louisiana Culinary Institute  Baton Rouge, LA",64,38,33,59.38%,86.84%,LA
9,,"Louisiana State University and Agricultural & Mechanical College  Baton Rouge, LA",24280,17967,5749,74.00%,32.00%,LA
10,,"Louisiana State University-Alexandria  Alexandria, LA",2333,1306,470,55.98%,35.99%,LA
11,,"Louisiana State University-Shreveport  Shreveport, LA",712,619,297,86.94%,47.98%,LA
12,,"Louisiana Tech University  Ruston, LA",7297,4597,2207,63.00%,48.01%,LA
13,,"Loyola University New Orleans  New Orleans, LA",4514,4243,806,94.00%,19.00%,LA
14,,"McNeese State University  Lake Charles, LA",3224,2257,1377,70.01%,61.01%,LA
15,,"Nicholls State University  Thibodaux, LA",2651,2492,1296,94.00%,52.01%,LA
16,,"Northwestern State University of Louisiana  Natchitoches, LA",4444,3644,1567,82.00%,43.00%,LA
17,,"Southeastern Louisiana University  Hammond, LA",4328,3895,2688,90.00%,69.01%,LA
18,,"Southern University and A & M College  Baton Rouge, LA",11245,4161,1332,37.00%,32.01%,LA
19,,"Southern University at New Orleans  New Orleans, LA",1047,314,201,29.99%,64.01%,LA
20,,"Tulane University of Louisiana  New Orleans, LA",38816,6599,1848,17.00%,28.00%,LA
21,,"University of Holy Cross  New Orleans, LA",2060,721,115,35.00%,15.95%,LA
22,,"University of Louisiana at Lafayette  Lafayette, LA",9468,5302,2757,56.00%,52.00%,LA
23,,"University of Louisiana at Monroe  Monroe, LA",4253,3020,1299,71.01%,43.01%,LA
24,,"University of New Orleans  New Orleans, LA",4715,2688,1021,57.01%,37.98%,LA
25,,"Xavier University of Louisiana  New Orleans, LA",8352,4844,872,58.00%,18.00%,LA
26,,Average,5585,2958,1070,52.96%,36.15%,LA
0,,"Bates College  Lewiston, ME",7685,1383,526,18.00%,38.03%,ME
1,,"Birthwise Midwifery School  Bridgton, ME",10,4,4,40.00%,100.00%,ME
2,,"Bowdoin College  Brunswick, ME",9081,908,499,10.00%,54.96%,ME
3,,"Colby College  Waterville, ME",12313,1601,576,13.00%,35.98%,ME
4,,"College of the Atlantic  Bar Harbor, ME",456,306,83,67.11%,27.12%,ME
5,,"Husson University  Bangor, ME",2894,2402,649,83.00%,27.02%,ME
6,,"Maine College of Art  Portland, ME",888,542,98,61.04%,18.08%,ME
